               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,             0.04122,            0.033587,           0.0050873,             0.79169,             0.68967,             0.71691,             0.33949,            0.050776,            0.039234,            0.007144,              0.0067,              0.0067,              0.0067
                 102,            0.041216,            0.033361,           0.0049507,             0.77824,             0.68688,             0.71964,               0.344,            0.050336,            0.038482,           0.0072615,            0.006667,            0.006667,            0.006667
                 103,            0.040608,            0.035182,           0.0049579,             0.80403,             0.67982,             0.72447,             0.34887,            0.050281,            0.038716,           0.0072766,            0.006634,            0.006634,            0.006634
                 104,            0.041123,             0.03345,            0.004977,             0.80358,             0.67242,                0.72,             0.34519,            0.050501,            0.039057,           0.0072738,            0.006601,            0.006601,            0.006601
                 105,            0.040278,            0.032941,           0.0048142,             0.78725,             0.67699,             0.72128,             0.35004,            0.050133,            0.038556,           0.0071535,            0.006568,            0.006568,            0.006568
                 106,            0.040774,             0.03142,           0.0050606,             0.79463,             0.67942,             0.72223,             0.35101,            0.049575,            0.037214,           0.0071167,            0.006535,            0.006535,            0.006535
                 107,            0.039988,            0.033637,           0.0047463,             0.79653,             0.68465,             0.73373,             0.35283,            0.050146,            0.038444,           0.0074636,            0.006502,            0.006502,            0.006502
                 108,            0.040048,            0.032264,           0.0045282,             0.80005,             0.67275,              0.7266,             0.34882,            0.050592,            0.038655,           0.0074742,            0.006469,            0.006469,            0.006469
                 109,            0.039493,            0.033779,            0.004745,             0.81933,             0.65774,               0.725,             0.35176,            0.050324,            0.039565,           0.0075893,            0.006436,            0.006436,            0.006436
                 110,            0.040426,            0.034015,           0.0047607,             0.78526,             0.68133,              0.7219,             0.34445,            0.050318,            0.038461,           0.0074413,            0.006403,            0.006403,            0.006403
                 111,            0.040139,            0.034466,           0.0049867,             0.78592,             0.69211,             0.72296,              0.3461,            0.050109,            0.038129,           0.0072306,             0.00637,             0.00637,             0.00637
                 112,            0.040273,            0.032434,           0.0046555,             0.81292,             0.66747,             0.71634,             0.34941,            0.050299,            0.039185,           0.0072659,            0.006337,            0.006337,            0.006337
                 113,            0.040481,            0.032467,           0.0046809,             0.80453,             0.65075,             0.71332,             0.33731,            0.050864,            0.039769,           0.0073476,            0.006304,            0.006304,            0.006304
                 114,            0.040676,            0.035162,           0.0049892,             0.79556,             0.68214,             0.72097,             0.34633,            0.050507,            0.038456,           0.0069541,            0.006271,            0.006271,            0.006271
                 115,            0.039665,            0.034212,           0.0046924,             0.80735,             0.67939,             0.72525,             0.35252,            0.050498,            0.038192,           0.0072273,            0.006238,            0.006238,            0.006238
                 116,            0.040047,            0.034182,           0.0050793,             0.79033,             0.67623,             0.73311,              0.3551,            0.049811,            0.038695,            0.007029,            0.006205,            0.006205,            0.006205
                 117,            0.039442,            0.032233,           0.0045771,             0.82372,             0.65615,             0.72186,             0.35101,             0.05028,            0.040868,           0.0071113,            0.006172,            0.006172,            0.006172
                 118,             0.04001,            0.032165,           0.0048242,             0.80107,             0.67698,             0.73098,             0.35814,             0.04975,            0.039343,           0.0070349,            0.006139,            0.006139,            0.006139
                 119,            0.039811,            0.033057,           0.0047547,             0.79882,             0.66145,             0.71512,             0.34784,            0.050366,             0.03938,           0.0071133,            0.006106,            0.006106,            0.006106
                 120,            0.039805,            0.031403,           0.0048599,             0.78985,             0.69651,             0.73606,             0.35858,             0.04986,            0.038097,           0.0072678,            0.006073,            0.006073,            0.006073
                 121,            0.039666,            0.033309,           0.0048813,             0.78345,             0.70723,             0.73514,             0.35558,            0.049845,            0.038174,           0.0070467,             0.00604,             0.00604,             0.00604
                 122,            0.038897,            0.032613,           0.0045105,             0.79791,             0.68265,             0.72393,             0.35193,            0.050347,            0.038637,           0.0070148,            0.006007,            0.006007,            0.006007
                 123,            0.039286,            0.032696,           0.0048909,              0.8134,             0.68094,             0.73533,             0.35432,             0.05025,            0.038882,           0.0070401,            0.005974,            0.005974,            0.005974
                 124,            0.039445,            0.032556,           0.0048723,             0.81259,             0.66928,             0.71881,             0.34566,            0.050137,            0.039455,           0.0072309,            0.005941,            0.005941,            0.005941
                 125,            0.038992,            0.032631,           0.0048114,             0.79627,             0.69331,             0.72803,              0.3545,            0.049862,            0.038859,            0.007018,            0.005908,            0.005908,            0.005908
                 126,            0.039241,            0.032598,           0.0049557,             0.80891,             0.68141,             0.72666,                0.35,             0.04997,            0.039161,            0.006926,            0.005875,            0.005875,            0.005875
                 127,            0.039059,            0.032994,           0.0047287,             0.81835,              0.6894,             0.73448,             0.35403,             0.04975,            0.039123,           0.0070128,            0.005842,            0.005842,            0.005842
                 128,            0.039419,            0.033515,            0.004889,              0.8023,             0.69606,              0.7288,              0.3565,            0.049777,            0.038071,           0.0071541,            0.005809,            0.005809,            0.005809
                 129,             0.03881,            0.031781,           0.0045765,             0.80148,             0.69737,              0.7342,             0.35752,            0.049674,            0.038635,           0.0070568,            0.005776,            0.005776,            0.005776
